Genus,Species,Binomial,Height.max..m.,Height.actual..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,References
Atriplex,canescens,Atriplex canescens,NA,NA,-1.884,NA,-4.463,14.73439318,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Atriplex,canescens,Atriplex canescens,NA,NA,-1.414,NA,-2.756,28.31594635,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Atriplex,confertifolia,Atriplex confertifolia,NA,NA,-1.583,NA,-4.277,14.10541945,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Atriplex,confertifolia,Atriplex confertifolia,NA,NA,-1.662,NA,-3.997,16.27408994,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Chrysothamnus,nauseosus,Chrysothamnus nauseosus,NA,NA,-1.884,NA,-3.735,20.52944354,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,nauseosus,Chrysothamnus nauseosus,NA,NA,-0.932,NA,-2.656,22.04176334,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Chrysothamnus,parryi,Chrysothamnus parryi,NA,NA,-2.766,NA,-4.742,19.23076923,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,NA,NA,-1.62,NA,-3.61,19.09547739,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,NA,NA,-1.243,NA,-3.48,16.98703621,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Grayia,spinosa,Grayia spinosa,NA,NA,-2.252,NA,-5.282,12.54125413,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Juniperus,virginiana,Juniperus virginiana,NA,NA,-4.59,-2.46,NA,NA,NA,NA,NA,NA,44.4666666666667,-73.2,122,6.8,866,Sperry & Tyree 1990
Sarcobatus,vermiculatus,Sarcobatus vermiculatus,NA,NA,-2.054,NA,-7.735,6.688963211,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Sarcobatus,vermiculatus,Sarcobatus vermiculatus,NA,NA,-2.221,NA,-4.225,18.96207585,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-3.497,NA,-6.994,10.86645696,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-2.485,NA,-5.53,12.47947455,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Acer,grandidentatum,Acer grandidentatum,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Acer,grandidentatum,Acer grandidentatum,NA,NA,-0.8,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Acer,rubrum,Acer rubrum,NA,NA,-3.3,NA,NA,NA,NA,NA,NA,NA,35.9666666666667,-79.1333333333333,171,14.6,1162,Sperry & Hacke 2004
Nerium,oleander,Nerium oleander,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,34.0416666666667,-118.708333333333,232,16.4,380,Sperry & Hacke 2004
Prunus,virginiana,Prunus virginiana,NA,NA,-3.8,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,40.2210527777778,-112.744411111111,1475,10.2,273,Sperry & Hacke 2004
Abies,concolor,Abies concolor,NA,NA,-5.153,-3.249,-6.356,31.58769742,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,Sperry & Ikeda 1997
Abies,concolor,Abies concolor,NA,NA,-4.51,NA,-5.295,48.40764331,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-4.596,-2.203,-5.728,33.56890459,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-3.931,-3.09,-4.757,46.00484262,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-1.754,-0.539,-4.106,16.15646259,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-5.04,-3.201,-6.144,34.42028986,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-4.43,NA,-5.173,51.14401077,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Betula,occidentalis,Betula occidentalis,15,13.5,-1.831,-0.431,-2.462,60.22187005,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.522,-0.741,-1.863,111.4369501,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.462,-1.014,-1.719,147.8599222,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-0.507,-0.184,-1.583,35.31598513,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.285,-0.907,-1.482,192.893401,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.178,-2.501,-3.724,69.5970696,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.048,-2.156,-3.465,91.12709832,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.1,NA,NA,NA,NA,NA,NA,NA,40.6,-111.566666666667,2825,1.8,956,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,-1.648,-1.22,-2.054,93.59605911,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,-1.045,NA,-1.774,52.12620027,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Juniperus,scopulorum,Juniperus scopulorum,NA,NA,-7.377,-5.15,-8.678,29.20830131,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Sullivan 1992
Juniperus,scopulorum,Juniperus scopulorum,NA,NA,-6.149,-4.44,-8.074,19.74025974,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-2.744,NA,-4.537,21.1935304,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-1.145,-0.259,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-0.497,NA,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.566666666667,2825,1.8,956,Sperry & Sullivan 1992
Quercus,gambelii,Quercus gambelii,NA,NA,NA,NA,-4.556,8.340649693,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Quercus,gambelii,Quercus gambelii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Acer,saccharum,Acer saccharum,NA,NA,-0.865,NA,-2.326,26.00958248,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1988
Acer,saccharum,Acer saccharum,NA,NA,-3.871,-0.312,-4.471,63.33333333,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1988
Abies,balsamea,Abies balsamea,NA,NA,-2.87,-1.89,-3.51,59.375,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
Abies,balsamea,Abies balsamea,NA,NA,-2.7,-2.19,-3.17,79.49790795,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
