"taxon","Binomial","Height.max..m.","Height.actual..m.","P50..MPa.","P12..MPa.","P88..MPa.","Slope","Ks..kg.m.1.MPa.1.s.1.","KL..kg.m.1.MPa.1.s.1.","Huber.value","SLA..cm2.g.1.","Latitude","Longitude","Altitude..m.","MATbest","PPTbest","Genus","Species","ID","animal","Phylo_axis_1","Phylo_axis_2","Phylo_axis_3","Phylo_axis_4","Phylo_axis_5","Phylo_axis_6","Phylo_axis_7","Phylo_axis_8","Phylo_axis_9","Phylo_axis_10","Phylo_axis_11","Phylo_axis_12"
"Abies_alba","Abies alba",50,25,-3.65,-2.9,-4.4,50.66666667,1.71901,NA,0.0000588,NA,48.75145,6.337966667,263,9.4,766,"Abies","alba",205,"Abies_alba",521.161165938876,-1.15170778793056,-0.0884656254666032,-0.364172101332305,-138.822463331143,0.433946278437305,21.0751074544086,0.677328070578406,-1.67209880573161,0.435380323256059,-0.00272690851304518,-0.00807276972009905
"Abies_alba","Abies alba",50,25,-3.43,-2.6,-4.2,49.35064935,0.88,NA,NA,NA,48.75145,6.337966667,263,9.4,766,"Abies","alba",206,"Abies_alba",521.161165938876,-1.15170778793056,-0.0884656254666032,-0.364172101332305,-138.822463331143,0.433946278437305,21.0751074544086,0.677328070578406,-1.67209880573161,0.435380323256059,-0.00272690851304518,-0.00807276972009905
"Abies_alba","Abies alba",50,30,-3.71,-3.306774194,-4.113225806,94.24,NA,NA,NA,NA,45.717,3.05,800,8.4,786,"Abies","alba",214,"Abies_alba",521.161165938876,-1.15170778793056,-0.0884656254666032,-0.364172101332305,-138.822463331143,0.433946278437305,21.0751074544086,0.677328070578406,-1.67209880573161,0.435380323256059,-0.00272690851304518,-0.00807276972009905
"Abies_alba","Abies alba",50,20,-4.15,-2.82,-5.47,28.78787879,NA,NA,NA,NA,47.2666666666667,11.3666666666667,600,8.9,883,"Abies","alba",1215,"Abies_alba",521.161165938876,-1.15170778793056,-0.0884656254666032,-0.364172101332305,-138.822463331143,0.433946278437305,21.0751074544086,0.677328070578406,-1.67209880573161,0.435380323256059,-0.00272690851304518,-0.00807276972009905
"Abies_alba","Abies alba",60,NA,-4.001,-3.464675508,-4.537324492,70.85262851,NA,NA,NA,NA,42.9,0.083333333,1500,5.8,1148,"Abies","alba",1352,"Abies_alba",521.161165938876,-1.15170778793056,-0.0884656254666032,-0.364172101332305,-138.822463331143,0.433946278437305,21.0751074544086,0.677328070578406,-1.67209880573161,0.435380323256059,-0.00272690851304518,-0.00807276972009905
"Abies_balsamea","Abies balsamea",NA,NA,-2.87,-1.89,-3.51,59.375,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,"Abies","balsamea",50,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,NA,-2.7,-2.19,-3.17,79.49790795,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,"Abies","balsamea",51,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,"Abies","balsamea",52,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,NA,-0.65,-0.43,-2.38,21.87679908,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,"Abies","balsamea",53,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",30,4,NA,NA,NA,NA,0.140740741,0.0000988,0.000702,42.8,42.8833333333333,-72.3166666666667,340,7.1,1071,"Abies","balsamea",1182,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",30,2,NA,NA,NA,NA,0.22008547,0.000103,0.000468,42.8,42.8833333333333,-72.3166666666667,340,7.1,1071,"Abies","balsamea",1183,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",30,4,NA,NA,NA,NA,0.083966746,0.000707,0.00842,42.8,42.8833333333333,-72.3166666666667,340,7.1,1071,"Abies","balsamea",1184,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",30,2,NA,NA,NA,NA,0.148571429,0.000156,0.00105,42.8,42.8833333333333,-72.3166666666667,340,7.1,1071,"Abies","balsamea",1185,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-3.78874,NA,NA,NA,0.36380918,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1236,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-4.49266,NA,NA,NA,0.263658941,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1237,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-3.33491,NA,NA,NA,0.368914872,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1238,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-2.80184,NA,NA,NA,2.617863051,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1239,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-1.58567,NA,NA,NA,3.020746503,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1240,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_balsamea","Abies balsamea",NA,1.5,-1.599899023,NA,NA,NA,3.99687146,NA,NA,NA,53.4166666666667,-113.75,700,2.6,475,"Abies","balsamea",1241,"Abies_balsamea",521.160816825064,-1.15169272992708,-0.0884642590017543,-0.364166138777335,-138.819950411989,0.433937041798266,21.0745880970111,0.677309620834174,-1.67204811259265,0.435366545081075,-0.00272681197045149,-0.00807246653316664
"Abies_concolor","Abies concolor",NA,NA,-5.153,-3.249,-6.356,31.58769742,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,"Abies","concolor",22,"Abies_concolor",521.160240400085,-1.15166786734797,-0.0884620028009927,-0.364156293862605,-138.815801267922,0.433921790923802,21.0737305698012,0.677279157842634,-1.67196441130233,0.435343795416705,-0.00272665256457542,-0.00807196592901762
"Abies_concolor","Abies concolor",NA,NA,-4.51,NA,-5.295,48.40764331,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,"Abies","concolor",23,"Abies_concolor",521.160240400085,-1.15166786734797,-0.0884620028009927,-0.364156293862605,-138.815801267922,0.433921790923802,21.0737305698012,0.677279157842634,-1.67196441130233,0.435343795416705,-0.00272665256457542,-0.00807196592901762
"Abies_concolor","Abies concolor",60,NA,-8.4,NA,NA,NA,NA,NA,NA,NA,40.7333333333333,110,NA,0.8,680,"Abies","concolor",394,"Abies_concolor",521.160240400085,-1.15166786734797,-0.0884620028009927,-0.364156293862605,-138.815801267922,0.433921790923802,21.0737305698012,0.677279157842634,-1.67196441130233,0.435343795416705,-0.00272665256457542,-0.00807196592901762
"Abies_concolor","Abies concolor",60,NA,-3.4,NA,NA,NA,NA,NA,NA,NA,40.7333333333333,110,NA,0.8,680,"Abies","concolor",395,"Abies_concolor",521.160240400085,-1.15166786734797,-0.0884620028009927,-0.364156293862605,-138.815801267922,0.433921790923802,21.0737305698012,0.677279157842634,-1.67196441130233,0.435343795416705,-0.00272665256457542,-0.00807196592901762
